title,authors,publisher,date
Python Machine Learning Blueprints: Intuitive data projects you can relate to,['Alexander T. Combs'],Packt Publishing,July 2016
Mastering Social Media Mining with Python,['Marco Bonzanini'],Packt Publishing,July 2016
Smarter Decisions – The Intersection of Internet of Things and Decision Science,['Jojo Moolayil'],Packt Publishing,July 2016
Mastering Business Intelligence with MicroStrategy,"['Dmitry Anoshin', 'Himani Rana', 'Ning Ma']",Packt Publishing,July 2016
Getting Started with TensorFlow,['Giancarlo Zaccone'],Packt Publishing,July 2016
Juniper QFX10000 Series,['Douglas Richard Hanks Jr.'],O'Reilly Media,July 2016
MongoDB: The Definitive Guide,"['Shannon Bradshaw', 'Kristina Chodorow']",O'Reilly Media,July 2016
Advanced Machine Learning with Python,['John Hearty'],Packt Publishing,July 2016
Python Data Analysis Cookbook,['Ivan Idris'],Packt Publishing,July 2016
Architecting HBase Applications,"['Jean-Marc Spaggiari', ""Kevin O'Dell""]",O'Reilly Media,July 2016
Perspectives on Data Science for Software Engineering,"['Tim Menzies', 'Laurie Williams', 'Thomas Zimmermann']",Elsevier / Morgan Kaufmann,July 2016
Understanding Compression,"['Colt McAnlis', 'Aleks Haecky', 'John Brooks']",O'Reilly Media,July 2016
Quantifying the User Experience,"['Jeff Sauro', 'James R Lewis']",Elsevier / Morgan Kaufmann,July 2016
Architecting for Scale,['Lee Atchison'],O'Reilly Media,July 2016
Network Function Virtualization,"['Ken Gray', 'Thomas D. Nadeau']",Elsevier / Morgan Kaufmann,July 2016
Data Visualization with Python and JavaScript,['Kyran Dale'],O'Reilly Media,June 2016
Simulation for Data Science with R,['Matthias Templ'],Packt Publishing,June 2016
Cassandra: The Definitive Guide,"['Jeff Carpenter', 'Eben Hewitt']",O'Reilly Media,June 2016
